	CDSCode	School	Charter	year	grade	testid	meanscaledscore	Latitude	Longitude	OpenDate	ClosedDate	totalstarenrollment	totaltestedatentitylevel
80	1612590100123	East Oakland Leadership Academy	Y	2011	2	7	NULL	37.77184000000001	-122.18986	2003-09-02	NULL	97	97
81	1612590100123	East Oakland Leadership Academy	Y	2011	2	8	NULL	37.77184000000001	-122.18986	2003-09-02	NULL	97	97
82	1612590100123	East Oakland Leadership Academy	Y	2011	3	8	393.8	37.77184000000001	-122.18986	2003-09-02	NULL	97	97
83	1612590100123	East Oakland Leadership Academy	Y	2011	3	7	336.3	37.77184000000001	-122.18986	2003-09-02	NULL	97	97
84	1612590100123	East Oakland Leadership Academy	Y	2011	4	7	340.0	37.77184000000001	-122.18986	2003-09-02	NULL	97	97
85	1612590100123	East Oakland Leadership Academy	Y	2011	4	8	373.1	37.77184000000001	-122.18986	2003-09-02	NULL	97	97
86	1612590100123	East Oakland Leadership Academy	Y	2011	5	8	NULL	37.77184000000001	-122.18986	2003-09-02	NULL	97	97
87	1612590100123	East Oakland Leadership Academy	Y	2011	5	7	NULL	37.77184000000001	-122.18986	2003-09-02	NULL	97	97
88	1612590100123	East Oakland Leadership Academy	Y	2012	2	8	NULL	37.77184000000001	-122.18986	2003-09-02	NULL	90	90
89	1612590100123	East Oakland Leadership Academy	Y	2012	2	7	NULL	37.77184000000001	-122.18986	2003-09-02	NULL	90	90
90	1612590100123	East Oakland Leadership Academy	Y	2012	3	7	NULL	37.77184000000001	-122.18986	2003-09-02	NULL	90	90
91	1612590100123	East Oakland Leadership Academy	Y	2012	3	8	NULL	37.77184000000001	-122.18986	2003-09-02	NULL	90	90
92	1612590100123	East Oakland Leadership Academy	Y	2012	4	8	NULL	37.77184000000001	-122.18986	2003-09-02	NULL	90	90
93	1612590100123	East Oakland Leadership Academy	Y	2012	4	7	NULL	37.77184000000001	-122.18986	2003-09-02	NULL	90	90
94	1612590100123	East Oakland Leadership Academy	Y	2012	5	7	353.4	37.77184000000001	-122.18986	2003-09-02	NULL	90	90
95	1612590100123	East Oakland Leadership Academy	Y	2012	5	8	409.6	37.77184000000001	-122.18986	2003-09-02	NULL	90	90
96	1612590100123	East Oakland Leadership Academy	Y	2010	2	7	NULL	37.77184000000001	-122.18986	2003-09-02	NULL	101	101
